Version ID	Index	Master ID	Skeletal code	Skeletal element	Year this sample was first published [for a present-day sample it is this version of the sample. missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Representative contact	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	GroupID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 coverage or published (merged data or consensus if not available)	mt haplogroup published	mt haplogroup published reference	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT (Xcontam interval is listed if lower bound is >0.005, "QUESTIONABLE" if lower bound is 0.01-0.02, "QUESTIONABLE_CRITICAL" or "FAIL" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is "QUESTIONABLE"; <0.9 is "QUESTIONABLE_CRITICAL", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is "QUESTIONABLE_CRITICAL/FAIL" if <0.01, "QUESTIONABLE" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are "QUESTIONABLE_CRITICAL" or "FAIL" if <0.03, "QUESTIONABLE" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))	Anatolian	Yamnaya	Mesolithic_HG	PC1	PC2	PC3	PC4
I2427	828	I2427	32	tooth (molar)	2018	MathiesonNature2018	Gaydarska, Bisserka	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6326	39	4446-4331 calBCE (5520±30 BP, Beta-432805)	Bulgaria_C	Sushina	Bulgaria	43.05888889	26.76722222	1240K	1	1.492	661216	..	F	n/a (no relatives detected)	..	208	H1j	..	..	[0.966,0.980]	0.108	0.012	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.001	0.008	None	[0,0.015]	ds.half	S2427.E1.L1	PASS	0.939147922486428	0	0.0608520775135716	-52.1341435607278	36.225741584045	-13.5745270052769	9.91232136752563
FLR007	17587	FLR007	FLR 953A	petrous	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, Maïté	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6326	39	4446-4331 calBCE (5520±30 BP, Beta-416662)	France_MN	Calvados, Fleury-sur-Orne	France	49.19	-0.38	1240K	1	1.99099	739357	..	M	n/a (no relatives detected)	G2a2a1a	..	..	U5b1c	RivollatScienceAdvance2020	..	0.08495	0.626684674	..	..	..	..	..	..	..	..	ds.half	FLR007.A0101	PASS (literature)	0.926331369922559	0	0.0736686300774408	-54.2350124166373	34.6972101525109	13.3919900466409	21.2473286504939
FLR005	17586	FLR005	FLR 37-5	petrous	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, Maïté	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6301	42	4444-4262 calBCE (5500±30 BP, Beta-416661)	France_MN	Calvados, Fleury-sur-Orne	France	49.19	-0.38	1240K	1	1.013079	613062	..	M	n/a (no relatives detected)	G2a2a1	..	..	J1c1b1	RivollatScienceAdvance2020	..	0.1059	0.569748601	..	..	..	..	..	..	..	..	ds.half	FLR005.A0101	PASS (literature)	0.975696483627711	0	0.0243035163722895	-45.4311103849209	41.0603577000985	17.1598342824288	17.2939051221681
Pir4.SG	17562	Pir4	Pir4	petrous	2020	BrunelPNAS2020	Pruvost, Melanie	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6293	58	4448-4251 calBCE (5494±49 BP, Erl-13040)	France_Occitanie_MN.SG	Occitanie (South), Valros, Le Pirou	France	43.2516	3.2202	Shotgun	1	0.07635	86257	..	F	n/a (no relatives detected)	..	81	V10a	V10a	Haplofind and Phy-Mer, Phylotree build17, BrunelPNAS2020	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	..	..	..	ds.half	Pir4	PASS (literature)	0.723210644665264	0	0.276789355334736	73.4000780564478	13.5132373453291	15.4858540539425	-13.6299316199086
I2424	4968	I2424	26	tooth (molar)	2018	MathiesonNature2018	Gaydarska, Bisserka	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6288	50	4445-4253 calBCE (5490±40 BP, Poz-93494)	Bulgaria_C	Smyadovo	Bulgaria	43.05777778	26.98361111	1240K	4	1.273	652285	..	F	n/a (no relatives detected)	..	..	U4a	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.003	0.01	None	[0,0.017]	ds.half,ds.half,ds.half,ds.half	S2424.E1.L1,S2424.E1.L2,S2424.E1.L3,S2424.E1.L4	PASS	0.913255180873538	0	0.0867448191264617	-50.2166831384746	33.0667549232559	-9.60647742350745	7.79459280398166
LON003	15962	LON003_LON004	111	Tooth	2020	MarcusNatureCommunications2020	John Novembre	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6274	41	4442-4252 calBCE (5481±32 BP, MAMS-39524)	Italy_Sardinia_N	Seulo, CA, Grutta I de Longu Fresu	Italy	39.87	9.2356	1240K	2	0.497305	395464	..	M	n/a (no relatives detected)	G2a2b2a	72.5	K1a2a	..	..	..	0.1871	..	..	0.006	1.1	[0,0.017]	-0.016	0.017	None	[0,0.017]	half	LON003.A0102_LON004.A0102	PASS (literature)	0.937755506826438	0	0.0622444931735621	-20.4647314435848	36.9855193323139	22.5650977321345	-4.26886393475694
I2793~published	15863	I2793	GEN67	petrous	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6273	44	4442-4250 calBCE (5480±35 BP, Poz-83629)	Hungary_EarlyC_Tiszapolgar_Bodrogkeresztur_published	Törökszentmiklós, road 4, site 3	Hungary	47.191612	20.402331	1240K	1	2.281	850019	..	M	n/a (no relatives detected)	I2a1b1a2	..	H1	..	..	..	..	..	..	..	..	..	-0.008	0.008	None	[0,0.008]	ds.half	S2793.L1	PASS (X-contam=0.005)	0.904310598208064	0	0.0956894017919364	-52.2495258936849	31.9624577521796	-1.34738448762045	14.2829377396847
Spiginas1	6845	Spiginas1	Spiginas1	..	2018	MittnikNatureCommunications2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6263	46	4442-4243 calBCE (5470±40 BP, Poz-61572)	Lithuania_EMN_Narva	Spiginas	Lithuania	55.768	22.417	1240K	..	5.887981	998529	..	M	n/a (no relatives detected)	I2a1a1b1a	..	H11a	..	..	..	..	..	..	..	..	..	0.001	0.009	None	[0,0.019]	half	..	PASS (literature)	0	0	1	-54.6863464096259	-86.1230037815189	65.1627774575775	-7.61544132431651
N22.SG	11355	N22	N22	petrous	2018	FernandesScientificReports2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6263	46	4442-4243 calBCE (5470±40 BP, Poz-77331)	Poland_BKG_o2.SG	Brzesc Kujawski	Poland	52.61	18.9	Shotgun	..	1.872284	972044	..	F	n/a (no relatives detected)	..	..	U5a1c	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.015	0.011	None	[0,0.037]	ds.minus	..	PASS (literature)	0	0	1	-44.4077071400884	-90.7384370708272	72.6321544994262	-4.82899637655001
N36.SG	11361	N36	N36	petrous	2018	FernandesScientificReports2018	..	Context: Archaeological period	6250	173	4600-4000 BCE	Poland_BKG.SG	Konary	Poland	50.67	21.38	Shotgun	..	1.902719	976414	..	F	n/a (no relatives detected)	..	..	J1c5	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.007	0.016	None	[0,0.038]	ds.minus	..	PASS (literature)	0.890876127813288	0	0.109123872186712	-38.2572357721531	30.6760220344108	7.57246520573779	4.76310314575218
N27.SG	11358	N27	N27	petrous	2018	FernandesScientificReports2018	..	Context: Archaeological period	6250	173	4600-4000 BCE	Poland_BKG.SG	Oslonki	Poland	52.61	18.8	Shotgun	..	1.933427	1003248	..	M	n/a (no relatives detected)	G2a2b2a1a1	..	V14	..	..	..	..	..	..	..	..	..	0.031	0.011	None	[0.009,0.053]	ds.minus	..	PASS (literature)	0.89552446820765	0	0.10447553179235	-40.0692251172533	31.1921865176694	3.55833713575399	5.11224329391051
N25.SG	11356	N25	N25	petrous	2018	FernandesScientificReports2018	..	Context: Archaeological period	6250	173	4600-4000 BCE	Poland_BKG.SG	Oslonki	Poland	52.61	18.8	Shotgun	..	2.487802	1055361	..	F	n/a (no relatives detected)	..	..	K2a	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.021	0.012	None	[0,0.045]	ds.minus	..	PASS (literature)	0.907837567840891	0	0.0921624321591093	-43.2439934334978	32.6498346115279	0.841709624804886	9.17931641499137
CRE20D.SG	17535	CRE20D	CRE20D	petrous	2020	BrunelPNAS2020	Pruvost, Melanie	Context (WARNING LAYER DATE DETAILS NOT SPECIFIED): Layer date based on direct dates of other individuals at the same site	6250	58	4400-4200 BCE	France_Occitanie_MN.SG	Occitanie (South), Béziers, Le Crès	France	43.2051	3.1308	Shotgun	1	0.250753	259197	..	F	n/a (no relatives detected)	..	78	H-16291	H-16291	Haplofind and Phy-Mer, Phylotree build17, BrunelPNAS2020	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	..	..	..	ds.half	CRE20D	PASS (literature)	0.853954968393113	0	0.146045031606887	41.0679393959264	28.4594123170316	25.4394959594527	-26.911617491319
BUCH2.SG	17530	BUCH2	BUCH2	petrous	2020	BrunelPNAS2020	Pruvost, Melanie	Context (WARNING LAYER DATE DETAILS UNSPECIFIED): Layer dates at the same site	6250	58	4400-4200 BCE	France_GrandEst_MN.SG	Grand-Est (East), Buchères, PLA D39	France	48.23569	4.11263	Shotgun	1	0.327838	332588	..	M	n/a (no relatives detected)	H2c~	39	U5b1-16189	U5b1-16189	Haplofind and Phy-Mer, Phylotree build17, BrunelPNAS2020	..	..	..	..	0.011248	..	..	..	..	..	..	ds.half	BUCH2	PASS (literature)	0.939790308126411	0	0.0602096918735888	24.1435039736445	38.5128500036886	27.2684733565072	-26.3140556277324
I2519	2096	I2519	G4, Grave 4 (Trench 17)	petrous	2018	MathiesonNature2018	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6237	33	4341-4245 calBCE (5425±25 BP, PSUAMS-1813)	Bulgaria_C	Veliko Tarnovo, Dzhulyunitsa	Bulgaria	43.16089	25.88341	1240K	1	4.848	765259	..	F	n/a (no relatives detected)	..	831	U5b2a1a+16311	..	..	[0.991,0.998]	0.132	0.014	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.008	0.006	None	[0,0.004]	ds.half	S2519.E1.L1	QUESTIONABLE (batch.flag)	0.961983449659701	0	0.0380165503402993	-53.9710187396388	39.0408062538208	-17.1429601555293	15.0288145243522
I2394	1569	I2394	VEJ9a	tooth (molar)	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6231	42	4341-4176 calBCE (5418±29 BP, MAMS-14828)	Hungary_C_Balaton_Lasinja	Veszprém Jutasi út	Hungary	47.102645	17.912987	1240K	1	0.05	58242	..	M	n/a (no relatives detected)	C1a2	425	H40	..	..	[0.966,0.986]	0.078	0.437	17	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.061	0.022	Model_Misspecified	[0,0]	ds.half	S2394.L1	PASS	0.73696407192321	0	0.26303592807679	70.2979470143593	15.058981036183	14.4695220530415	-18.4554322939895
PRI001	17639	PRI001	Prissé 1	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, Maïté	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6218	56	4342-4077 calBCE (5406±32 BP, OxA-15063)	France_MN	Deux-Sèvres, Prissé-la-Charrière	France	46.15	-0.48	1240K	2	0.894041	584367	..	M	n/a (no relatives detected)	I2a1a2	..	..	X2b+226	RivollatScienceAdvance2020	..	0.040975	0.594459999	..	..	..	..	..	..	..	..	ds.half	PRI001.A0101.TF1, PRI001.A0101.TF2	PASS (literature)	0.919609547614049	0	0.0803904523859511	-43.1224541484874	34.174223171927	23.9584727340211	14.5659762908089
I2395	1570	I2395	PULE1.9a	tooth (molar)	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Context: Archaeological period	6200	144	4500-4000 BCE	Hungary_EarlyC_Tiszapolgar	Pusztataskony-Ledence I	Hungary	47.45925	20.51282	1240K	1	0.108	119952	..	M	n/a (no relatives detected)	G2a	31.1	H26	..	..	[0.995,1.000]	0.077	0.438	38	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.025	0.039	None	[0,0.101]	ds.half	S2395.L1	PASS	0.793767483549734	0	0.206232516450266	53.6544174722851	21.4976822343096	13.5363194969128	-20.9289388931926
I2356	1545	I2356	PULE1.22a	tooth (molar)	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Context: Archaeological period	6200	144	4500-4000 BCE	Hungary_EarlyC_Tiszapolgar_contam	Pusztataskony-Ledence I	Hungary	47.45925	20.51282	1240K	1	0.149	161740	..	M	n/a (no relatives detected)	G2a2b	74.2	T2c1+146	T2c1	..	[0.778,0.832]	0.091	0.418	79	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.039	0.047	None	[0,0.131]	ds.half	S2356.L1	QUESTIONABLE_CRITICAL (mtcontam=[0.778,0.832])	0.857150897270185	0	0.142849102729815	44.6577914817533	28.9814662256705	15.3832417074524	-26.0517724789069
I2354	1543	I2354	PULE1.13a	tooth (molar)	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Context: Archaeological period	6200	144	4500-4000 BCE	Hungary_EarlyC_Tiszapolgar	Pusztataskony-Ledence I	Hungary	47.45925	20.51282	1240K	1	0.383	352528	..	M	n/a (no relatives detected)	G2a2b2a1	75.8	T2c1+146	T2c1	..	[0.964,0.985]	0.081	0.431	370	0.011654	1.660140447	[0,0.025]	0.061	0.022	None	[0.018,0.104]	ds.half	S2354.L1	PASS	0.96680493681061	0	0.0331950631893898	-3.62787483814812	41.0112737537991	12.8160873277671	-16.9033774530824
I2353	1542	I2353	PULE1.10a	tooth (molar)	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Context: Archaeological period	6200	144	4500-4000 BCE	Hungary_EarlyC_Tiszapolgar	Pusztataskony-Ledence I	Hungary	47.45925	20.51282	1240K	1	0.275	270298	..	M	n/a (no relatives detected)	I2a1a1b	236	T2c1+146	T2c1	..	[0.980,0.992]	0.088	0.429	212	0.003433	0.516320029	[0,0.016]	-0.022	0.02	Model_Misspecified	[0,0.017]	ds.half	S2353.L1	PASS	0.959706518852945	0	0.0402934811470549	8.40850845007641	40.4838787177048	16.6026016276099	-22.3156899172965
I4088	1963	I4088	URZI16	petrous	2018	MathiesonNature2018	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6191	71	4332-4064 calBCE (5380±25 BP, PSUAMS-1832)	Romania_C_Bodrogkeresztur	Urziceni	Romania	47.7467	22.395	1240K	1	1.925	699220	..	F	n/a (no relatives detected)	..	363	K2a	..	..	[0.933,0.950]	0.114	0.014	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.044	0.008	None	[0.028,0.06]	ds.half	S4088.E1.L1	PASS (mtcontam=[0.933,0.95])	0.861396584120765	0	0.138603415879235	-50.8208014228725	26.6826630488278	-6.21625855856419	12.5577022131374
I1907~published	15871	I1907	KON2a	tooth (molar)	2017	LipsonNature2017	Szécsényi-Nagy, Anna	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6183	75	4334-4060 calBCE (5380±30 BP, Beta-310033)	Hungary_C_Balaton_Lasinja_published	Enese elkerülő, Kóny, Proletár-dülö, M85, Site 2	Hungary	47.63868	17.36453	1240K	1	2.129	835823	..	F	n/a (no relatives detected)	..	..	K2a	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.004	0.005	None	[0,0.006]	ds.half	S1907.L1	PASS	0.901397049552664	0	0.0986029504473358	-52.952270547644	31.5970123139766	-0.221858675980325	16.0290618205672
N26.SG	11357	N26	N26	petrous	2018	FernandesScientificReports2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6177	78	4335-4058 calBCE (5380±35 BP, Poz-77330)	Poland_BKG.SG	Konary	Poland	50.67	21.38	Shotgun	..	2.268987	1049737	..	M	n/a (no relatives detected)	G2a2b2a1a	..	T2b30	..	..	..	..	..	..	..	..	..	0.005	0.012	None	[0,0.029]	ds.minus	..	PASS (literature)	0.955110467848037	0	0.0448895321519626	-42.9710961243333	38.5139781958108	-2.07520278950787	9.98549512559559
I4437	2343	I4437	ZVEJ15, Burial 226	petrous	2018	MathiesonNature2018	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6164	79	4330-4057 calBCE (5370±30 BP, PSUAMS-2234)	Latvia_MN	Zvejnieki	Latvia	56.2833	25.1333	1240K	1	3.6	732248	..	F	n/a (no relatives detected)	..	535	U5a1d2	..	..	[0.991,0.998]	0.093	0.012	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.001	0.005	None	[0,0.009]	ds.half	S4437.E1.L1	PASS	0	0	1	-51.4890932200661	-87.8690642507065	41.4014690661248	-14.7050401472986
I1634	1167	I1634	AR1/44	petrous	2016	LazaridisNature2016	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6156	80	4330-4056 calBCE (5366±31 BP, OxA-19331)	Armenia_C	Areni 1	Armenia	39.73	45.2	1240K	1	1.833	751435	..	M	n/a (no relatives detected)	L1a1	482	H2a1	..	..	[0.995,1.000]	0.066	0.415	2518	0.006832	3.286919389	[0.003,0.011]	0.001	0.009	None	[0,0.019]	ds.half	S1634.E1.L1	PASS	0.694921298707481	0	0.305078701292519	-44.0292022053564	6.05622077504772	-43.1862218481985	-11.4008696652899
PRI006	17641	PRI006	Prissé 6	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, Maïté	Context: Archaeological period	6150	58	4300-4100 BCE	France_MN	Deux-Sèvres, Prissé-la-Charrière	France	46.15	-0.48	1240K	1	0.418043	369218	..	F	France, Deux-Sèvres, Prissé-la-Charrière Family A (2 members) (PRI005-PRI006 are 2d/3d rels)	..	..	..	H3	RivollatScienceAdvance2020	..	0.09675	0.017473185	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	..	..	..	ds.half	PRI006.A0101	PASS (literature)	0.917029860589198	0	0.0829701394108021	-12.7684823788971	34.6334656222519	32.7427846117783	-9.18009387296815
PRI005	17640	PRI005	Prissé 5	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, Maïté	Context: Archaeological period	6150	58	4300-4100 BCE	France_MN	Deux-Sèvres, Prissé-la-Charrière	France	46.15	-0.48	1240K	1	0.048693	55018	..	U(probablyF)	France, Deux-Sèvres, Prissé-la-Charrière Family A (2 members) (PRI005-PRI006 are 2d/3d rels)	..	..	..	H3	RivollatScienceAdvance2020	..	0.11915	0.084807558	n/a (unknown sex)	n/a (unknown sex)	n/a (unknown sex)	n/a (unknown sex)	..	..	..	..	ds.half	PRI005.A0101	PASS (literature)	0.726967658820996	0	0.273032341179004	69.0847895198236	13.7915803530825	13.0101537051339	-17.4493534432489
Kretuonas4	6836	Kretuonas4	Kretuonas4	..	2018	MittnikNatureCommunications2018	..	Context: Archaeological period	6150	751	5500-2900 BCE	Lithuania_EMN_Narva	Kretuonas 1B	Lithuania	55.26	26.098	1240K	..	8.493176	1006360	..	F	n/a (no relatives detected)	..	..	U5b1b1a	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.014	0.011	None	[0,0.008]	half	..	PASS (literature)	0	0	1	-52.328613094501	-87.291132601386	54.8114440252634	-9.49822854444796
Kretuonas2	6835	Kretuonas2	Kretuonas2	..	2018	MittnikNatureCommunications2018	..	Context: Archaeological period	6150	751	5500-2900 BCE	Lithuania_EMN_Narva	Kretuonas 1B	Lithuania	55.26	26.098	1240K	..	1.231009	653282	..	M	Lithuania, Kretuonas 1B (2 members) (Kretuonas2-Kretuonas5 are identical twins)	I2a1a2	..	U5b2b	..	..	..	..	..	..	..	..	..	-0.013	0.02	None	[0,0.026]	half	..	PASS (literature)	0	0	1	-49.532962674288	-89.8976065152017	56.8995654551407	-8.11676040314924
NOE002	15976	NOE002	Noe 5	Tooth	2020	MarcusNatureCommunications2020	John Novembre	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6132	78	4325-4053 calBCE (5352±32 BP, MAMS-39527)	Italy_Sardinia_N	Ossi, SS, Noeddale	Italy	40.666086	8.593153	1240K	1	0.0587	64255	..	M	n/a (no relatives detected)	R1	8.2	HV0a	..	..	[0.97,0.99]	0.1218	..	..	..	..	..	-0.089	0.018	Model_Misspecified	[0,0]	ds.half	NOE002.A0101	PASS (literature)	0.763056327464324	0	0.236943672535676	61.4502407697011	17.9486613658907	20.4082078447077	-22.40575422596
N31.SG	11360	N31	N31	petrous	2018	FernandesScientificReports2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6130	80	4327-4051 calBCE (5350±40 BP, Poz-77356)	Poland_BKG.SG	Oslonki	Poland	52.61	18.8	Shotgun	..	1.833427	969046	..	F	n/a (no relatives detected)	..	..	H26	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.014	0.018	None	[0,0.049]	ds.minus	..	PASS (literature)	0.903795015399541	0	0.0962049846004587	-39.9194338937227	32.2188047674055	6.96835240019591	4.86259335120541
Kretuonas1	6834	Kretuonas1	Kretuonas1	..	2018	MittnikNatureCommunications2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6123	139	4453-3818 calBCE (5350±130 BP, OxA-5935)	Lithuania_EMN_Narva	Kretuonas 1B	Lithuania	55.26	26.098	1240K	..	0.351123	298198	..	F	n/a (no relatives detected)	..	..	U5b1	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.011	0.02	None	[0,0.05]	half	..	PASS (literature)	0.0340840922341403	0	0.96591590776586	-19.4143618974612	-74.6828644002192	46.4995189826121	2.30814270234903
BERG157-7.SG	17524	BERG157-7	BERG157-7	petrous	2020	BrunelPNAS2020	Pruvost, Melanie	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6112	73	4319-4050 calBCE (5335±35 BP, Poz-53888)	France_GrandEst_MN.SG	Grand-Est (East), Bergheim, Saulager	France	43.21817	2.4127	Shotgun	1	0.217542	233629	..	M	n/a (no relatives detected)	I2a1a2	141	U5b1c	U5b1c	Haplofind and Phy-Mer, Phylotree build17, BrunelPNAS2020	..	..	..	..	0.002785	..	..	..	..	..	..	ds.half	BERG157-7	PASS (literature)	0.850320029940277	0	0.149679970059723	43.1918120232983	28.0772445515993	23.3020618164699	-27.2431362819175
I4436	2342	I4436	ZVEJ14, Burial 261	petrous	2018	MathiesonNature2018	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6109	70	4318-4051 calBCE (5335±30 BP, PSUAMS-2233)	Latvia_MN_o2	Zvejnieki	Latvia	56.2833	25.1333	1240K	1	3.029	751632	..	M	n/a (no relatives detected)	R1b1a1	551	U4a1	..	..	[0.993,0.998]	0.111	0.427	4032	0.008674	4.938884577	[0.005,0.012]	-0.012	0.005	None	[0,0]	ds.half	S4436.E1.L1	PASS (Xcontam=[0.005,0.012])	0	0	1	-47.1307832732005	-86.4961127817015	4.50432976153355	-25.2498694823061
I8134	9615	I8134	CH-08-C17A-UE1709-E4	petrous	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Layer dates of 3952-3657 calBCE (5020±50 BP, CNA-360), 4585-4361 calBCE (5650±40 BP, CNA-664), 4652-4362 calBCE [5665±50 BP, CNA-833) on individuals from same site calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	6100	318	4700-3600 BCE	Spain_MLN	Cádiz, San Fernando, Campo de Hockey	Spain	36.445	-6.21	1240K	1	1.673109	663508	..	F	Spain, Cádiz, San Fernando, Campo de Hockey Family A (2 members) (I8134-I7679 are 2nd or 3rd degree relatives)	..	56	U5b3	..	..	[0.965,0.986]	0.23	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.01	0.005	None	[0,0]	ds.half	S8134.E1.L1	PASS	0.862489192295646	0	0.137510807704354	-53.7411386395271	26.8308995751763	17.8340465029033	22.4483292085213
